date,hour,kwh
2022-06-01,0,41.5644
2022-06-01,1,36.49
2022-06-01,2,35.6644
2022-06-01,3,34.5054
2022-06-01,4,40.6703
2022-06-01,5,50.6357
2022-06-01,6,62.676
2022-06-01,7,68.9739
2022-06-01,8,83.4922
2022-06-01,9,95.8576
2022-06-01,10,101.3686
2022-06-01,11,103.5764
2022-06-01,12,111.0484
2022-06-01,13,114.5519
2022-06-01,14,118.28
2022-06-01,15,122.9115
2022-06-01,16,128.0013
2022-06-01,17,126.5403
2022-06-01,18,126.7434
2022-06-01,19,119.917
2022-06-01,20,113.2581
2022-06-01,21,102.3177
2022-06-01,22,86.6072
2022-06-01,23,65.4405
2022-06-02,0,42.9082
2022-06-02,1,36.7451
2022-06-02,2,37.709
2022-06-02,3,36.9962
2022-06-02,4,56.1539
2022-06-02,5,73.1512
2022-06-02,6,60.0173
2022-06-02,7,66.1901
2022-06-02,8,77.9847
2022-06-02,9,95.206
2022-06-02,10,100.7264
2022-06-02,11,100.9566
2022-06-02,12,109.8722
2022-06-02,13,106.8704
2022-06-02,14,111.1096
2022-06-02,15,110.3114
2022-06-02,16,116.0212
2022-06-02,17,115.7179
2022-06-02,18,113.5499
2022-06-02,19,108.8032
2022-06-02,20,102.0428
2022-06-02,21,100.0822
2022-06-02,22,82.7243
2022-06-02,23,66.9809
2022-06-03,0,44.6174
2022-06-03,1,39.5318
2022-06-03,2,41.0632
2022-06-03,3,40.0629
2022-06-03,4,56.3174
2022-06-03,5,69.431
2022-06-03,6,71.28
2022-06-03,7,76.374
2022-06-03,8,80.4772
2022-06-03,9,92.7401
2022-06-03,10,96.6559
2022-06-03,11,98.4927
2022-06-03,12,106.3804
2022-06-03,13,111.5737
2022-06-03,14,106.2515
2022-06-03,15,100.0313
2022-06-03,16,106.9899
2022-06-03,17,104.6739
2022-06-03,18,103.235
2022-06-03,19,95.2268
2022-06-03,20,91.0568
2022-06-03,21,81.3757
2022-06-03,22,77.3177
2022-06-03,23,64.6945
2022-06-04,0,44.1469
2022-06-04,1,40.8603
2022-06-04,2,40.363
2022-06-04,3,40.8483
2022-06-04,4,55.796
2022-06-04,5,68.2866
2022-06-04,6,72.375
2022-06-04,7,72.5559
2022-06-04,8,77.377
2022-06-04,9,84.8945
2022-06-04,10,86.6295
2022-06-04,11,89.0561
2022-06-04,12,87.3189
2022-06-04,13,93.05
2022-06-04,14,96.5132
2022-06-04,15,92.8177
2022-06-04,16,96.6356
