date,max,avg,min
2022-06-01,92,75.3,60
2022-06-02,89,74.4,63
2022-06-03,84,71.4,59
2022-06-04,78,69.1,61
2022-06-05,81,68.1,60
2022-06-06,88,72.8,57
2022-06-07,93,74.8,55
2022-06-08,91,75.4,62
2022-06-09,99,80.2,63
2022-06-10,101,84.7,66
2022-06-11,99,82.8,64
2022-06-12,85,74.3,63
2022-06-13,84,70.1,54
2022-06-14,91,75.9,62
2022-06-15,97,77.6,61
2022-06-16,88,72,60
2022-06-17,78,65.8,56
2022-06-18,80,66.4,55
2022-06-19,88,72.5,52
2022-06-20,94,77.7,57
2022-06-21,104,85.3,63
2022-06-22,101,85.8,64
2022-06-23,102,86.8,75
2022-06-24,101,83.6,69
2022-06-25,101,81.3,63
2022-06-26,102,80.5,63
2022-06-27,103,80.3,61
2022-06-28,101,81.2,64
2022-06-29,94,73.9,60
2022-06-30,87,70.1,56
2022-07-01,90,70.8,56
2022-07-02,81,67.2,56
2022-07-03,80,67.1,57
2022-07-04,88,73,58
2022-07-05,89,77.1,67
2022-07-06,85,72,62
2022-07-07,89,73.1,60
2022-07-08,95,77.1,63
2022-07-09,93,76.2,61
2022-07-10,101,81.6,59
2022-07-11,102,86.5,71
2022-07-12,99,79.7,63
2022-07-13,92,75.3,62
2022-07-14,98,77.5,62
2022-07-15,98,77.8,61
2022-07-16,103,82.7,62
2022-07-17,105,84.6,67
2022-07-18,102,83.6,70
2022-07-19,101,81,66
2022-07-20,101,78.7,60
2022-07-21,99,77.9,60
2022-07-22,100,79.5,63
2022-07-23,99,77.4,60
2022-07-24,100,77.2,60
2022-07-25,94,74.8,60
2022-07-26,96,75.2,63
2022-07-27,98,76.8,62
2022-07-28,98,76.3,62
2022-07-29,96,75.4,62
2022-07-30,93,75.5,63
2022-07-31,86,74.3,65
