observation_dt,temperature_f
2015-01-31 00:06:00,43
2015-01-31 00:51:00,44
2015-01-31 01:32:00,45
2015-01-31 01:51:00,44
2015-01-31 02:51:00,44
2015-01-31 03:16:00,45
2015-01-31 03:51:00,43
2015-01-31 04:51:00,42
2015-01-31 05:07:00,43
2015-01-31 05:51:00,41
2015-01-31 06:51:00,40
2015-01-31 07:51:00,40
2015-01-31 08:35:00,39
2015-01-31 08:51:00,39
2015-01-31 09:51:00,39
2015-01-31 10:51:00,38
2015-01-31 11:51:00,39
2015-01-31 12:51:00,38
2015-01-31 13:51:00,38
2015-01-31 14:16:00,37
2015-01-31 14:51:00,38
2015-01-31 15:51:00,38
2015-01-31 16:51:00,37
2015-01-31 17:51:00,37
2015-01-31 18:10:00,36
2015-01-31 18:51:00,36
2015-01-31 19:51:00,36
2015-01-31 20:51:00,35
2015-01-31 21:51:00,34
2015-01-31 22:51:00,33
2015-01-31 23:29:00,30
2015-01-31 24:51:00,31
